,Interactor_A_ID,Interactor_B_ID
1041,STM1117,STM2820
1042,STM1432,STM2860
1043,STM1481,STM4378
1044,STM1425,STM1817
1045,STM0284,STM0292
1046,STM1055,STM1391
1047,STM4334,STM4344
1048,STM1180,STM1970
1049,STM0344,STM2080
1050,STM3529,STM4112
1051,STM2768,STM3846.s
1052,STM2119,STM2297
1053,STM0289,STM0855
1054,STM3733,STM3918
1055,STM2503,STM3031
1056,STM0712,STM1457
1057,STM2207,STM2208
1058,STM1321,STM2684
1059,STM2924,STM3014
1060,STM1091,STM2875
1061,STM1568,STM4491
1062,STM2496,STM3838
1063,STM0714,STM1460
1064,STM2710,STM2722
1065,STM2636,STM4571
1066,STM2208,STM4526
1067,STM3921,STM3923
1068,STM4491,STM4500
1069,STM3838,STM4330
1070,STM2616,STM2692
1071,STM3022,STM4426
1072,STM2544,STM4125
1073,STM0280,STM3251
1074,STM0608,STM4167
1075,STM0198,STM0337
1076,STM0978,STM4425
1077,STM2113,STM2336
1078,STM0541,STM4437
1079,STM3140,STM3384
1080,STM0320,STM1842
1081,STM2777,STM2839
1082,STM1224,STM1359
1083,STM1750,STM4569
1084,STM1704,STM3725
1085,STM1487,STM3056
1086,STM0638,STM1108
1087,STM2954.1n,STM3033
1088,STM4150,STM4151
1089,STM1752,STM3713
1090,STM2045,STM2464
1091,STM0845,STM0846
1092,STM3853,STM3856
1093,STM3199,STM3545
1094,STM0385,STM2133
1095,STM1007,STM3846.s
1096,STM0012,STM1318
1097,STM1418,STM3757
1098,STM0431,STM3853
1099,STM3424,STM3435
1100,STM3414,STM4150
1101,STM2108,STM2113
1102,STM3608,STM3613
1103,STM1571,STM3960
1104,STM3971,STM4025
1105,STM3215,STM3609
1106,STM1162,STM2727
1107,STM0355,STM1095
1108,STM0121,STM0122
1109,STM1950,STM3390
1110,STM0590,STM0591
1111,STM0864,STM1612
1112,STM1008.S,STM4529
1113,STM1431,STM1935
1114,STM3061,STM4115
1115,STM3815,STM4167
1116,STM2033,STM2035
1117,STM2865,STM2883
1118,STM3304,STM3424
1119,STM3638,STM3757
1120,STM4075,STM4080
1121,STM1400,STM3764
1122,STM2396,STM2398
1123,STM1894,STM3744
1124,STM2896,STM4319
1125,STM3513,STM3514
1126,STM0748,STM1070
1127,STM0459,STM4291
1128,STM0023,STM0302
1129,STM3163,STM3164
1130,STM2092,STM2093
1131,STM1917,STM1922
1132,STM3450,STM3578
1133,STM2208,STM2209
1134,STM1407,STM4057
1135,STM0367,STM3320
1136,STM0609,STM1044
1137,STM0133,STM1815
1138,STM0588,STM4167
